,applicationid,applicationno,agentid,updatedate,
,45868,620004535,0000635982,2019-06-15 13:22:25.783,
,45866,620004532,0000617286,2019-06-15 13:22:22.787,
,45864,620004530,0000631481,2019-06-15 13:22:19.347,
,45865,620004531,0000012552,2019-06-15 13:22:18.565,
,45863,620004529,0000661322,2019-06-15 13:22:17.396,
,45862,620004528,0000632550,2019-06-15 13:22:16.814,
,45860,620004526,0000164149,2019-06-15 13:22:13.207,
,45861,620004527,0000072616,2019-06-15 13:22:12.792,
,45858,620004524,0000006921,2019-06-15 13:22:11.619,
,45859,620004525,0000019731,2019-06-15 13:22:10.981,
,45856,620004520,0000656809,2019-06-15 13:22:06.714,
,45854,620004519,0000626671,2019-06-15 13:22:04.662,
,45852,620004518,0000564143,2019-06-15 13:22:02.425,
,45853,620004517,0000642039,2019-06-15 13:22:00.644,
,45851,620004516,0000658348,2019-06-15 13:22:00.289,
,45849,620004514,0000694128,2019-06-15 13:21:57.473,
,45850,620004515,0000221584,2019-06-15 13:21:56.63,
,45848,620004513,0000628351,2019-06-15 13:21:53.706,
,45846,620004511,0000644355,2019-06-15 13:21:50.596,
,45847,620004512,0000550124,2019-06-15 13:21:50.283,
,45845,620004510,0000521318,2019-06-15 13:21:48.923,
,45844,620004509,0000618092,2019-06-15 13:21:38.006,
,45843,620004508,0000528551,2019-06-15 13:21:30.458,
,45842,620004507,0000573403,2019-06-15 13:21:07.698,
,45841,620004506,0000093842,2019-06-15 13:07:32.599,
,45840,620004505,0000016970,2019-06-15 13:00:20.568,
,45811,620004475,0000632550,2019-06-15 12:55:37.246,
,45809,620004476,0000337497,2019-06-15 12:55:36.965,
,45807,620004472,0000027292,2019-06-15 12:55:35.253,
,45791,620004456,0000694128,2019-06-15 11:55:59.974,
,45790,620004455,0000108027,2019-06-15 11:55:51.679,
,45789,620004454,0000637425,2019-06-15 11:55:47.788,
,45788,620004453,0000528551,2019-06-15 11:55:42.661,
,45787,620004452,0000635982,2019-06-15 11:55:38.368,
,45786,620004451,0000642039,2019-06-15 11:55:06.499,
,45785,620004450,0000531336,2019-06-15 11:55:00.152,
,45784,620004449,0000006921,2019-06-15 11:54:29.093,
,45782,620004448,0000658348,2019-06-15 11:53:32.374,
,45781,620004446,0000573403,2019-06-15 11:53:29.172,
,45780,620004445,0000093842,2019-06-15 11:52:55.217,
,45779,620004444,0000012552,2019-06-15 11:52:46.286,
,45778,620004442,0000618092,2019-06-15 11:52:25.36,
,45776,620004440,0000656809,2019-06-15 11:52:19.846,
,45775,620004437,0000657361,2019-06-15 11:52:17.995,
,45773,620004439,0000063555,2019-06-15 11:52:17.045,
,45771,620004436,0000027292,2019-06-15 11:52:15.898,
,45774,620004441,0000019731,2019-06-15 11:52:12.856,
,45772,620004438,0000072616,2019-06-15 11:52:12.692,
,45770,620004435,0000005057,2019-06-15 11:52:09.742,
,45769,620004434,0000508962,2019-06-15 11:52:05.202,
,45768,620004433,0000016764,2019-06-15 11:52:04.379,
,45766,620004427,0000550124,2019-06-15 11:52:02.235,
,45765,620004431,0000631481,2019-06-15 11:52:00.918,
,45764,620004430,0000632550,2019-06-15 11:51:59.572,
,45767,620004432,0000015545,2019-06-15 11:51:58.872,
,45762,620004429,0000564143,2019-06-15 11:51:58.259,
,45763,620004428,0000221584,2019-06-15 11:51:55.816,
,45761,620004424,0000628351,2019-06-15 11:51:55.146,
,45758,620004423,0000626671,2019-06-15 11:51:53.374,
,45757,620004421,0000644355,2019-06-15 11:51:53.324,
,45759,620004426,0000521318,2019-06-15 11:51:51.94,
,45756,620004422,0000016423,2019-06-15 11:51:49.933,
,45755,620004420,0000617286,2019-06-15 11:51:43.697,
,45753,620004417,0000653699,2019-06-15 11:51:39.307,
,45751,620004416,0000337497,2019-06-15 11:51:33.583,
,45752,620004418,0000550175,2019-06-15 11:51:32.904,
,45750,620004415,0000661322,2019-06-15 11:51:29.615,
,45749,620004414,0000628055,2019-06-15 11:51:20.671,
,45746,620004412,0000016970,2019-06-15 11:51:19.3,
,45748,620004413,0000003868,2019-06-15 11:51:16.825,
,45747,620004411,0000164149,2019-06-15 11:51:16.061,
,45745,620004410,0000017627,2019-06-15 11:51:09.872,
,45744,620004409,0000632628,2019-06-15 11:51:03.483,
,45743,620004408,0000195560,2019-06-15 11:37:21.125,
,45742,620004407,0000617126,2019-06-15 11:30:50.366,
,45715,620004382,0000108027,2019-06-15 11:25:28.171,
,45705,620004370,0000564143,2019-06-15 11:25:04.678,
,45701,620004366,0000632550,2019-06-15 11:24:57.882,
,45693,620004358,0000573403,2019-06-15 10:25:54.9,
,45692,620004357,0000531336,2019-06-15 10:25:37.483,
,45691,620004356,0000637425,2019-06-15 10:25:33.529,
