"applicationid","applicationno","agentid","updatedate"
"46473","620005148","0000624345","2019-06-17 18:58:13.64"
"47051","620005734","0000624345","2019-06-17 18:58:13.637"
"46566","620005245","0000624345","2019-06-17 18:58:13.636"
"45700","620004367","0000624345","2019-06-17 18:58:13.634"
"47913","620006612","0000624345","2019-06-17 18:58:13.633"
"44073","620002711","0000624345","2019-06-17 18:58:13.629"
"44926","620003582","0000624345","2019-06-17 18:58:13.628"
"42294","620000895","0000624345","2019-06-17 18:58:13.628"
"45223","620003882","0000624345","2019-06-17 18:58:13.626"
"48116","620006813","0000624345","2019-06-17 18:58:13.623"
"47628","620006321","0000624345","2019-06-17 18:58:13.622"
"48693","620007399","0000009863","2019-06-17 18:58:13.621"
"48692","620007395","0000624345","2019-06-17 18:58:13.209"
"42306","620000903","0000636549","2019-06-17 18:58:12.31"
"42400","620000996","0000636549","2019-06-17 18:58:12.309"
"43429","620002055","0000636549","2019-06-17 18:58:12.306"
"42775","620001382","0000636549","2019-06-17 18:58:12.304"
"43907","620002538","0000636549","2019-06-17 18:58:12.302"
"44071","620002708","0000636549","2019-06-17 18:58:12.301"
"44171","620002808","0000636549","2019-06-17 18:58:12.3"
"44463","620003104","0000636549","2019-06-17 18:58:12.297"
"46851","620005532","0000636549","2019-06-17 18:58:12.283"
"46952","620005633","0000636549","2019-06-17 18:58:12.282"
"47525","620006217","0000636549","2019-06-17 18:58:12.279"
"47721","620006415","0000636549","2019-06-17 18:58:12.277"
"42953","620001562","0000636549","2019-06-17 18:58:12.276"
"47814","620006509","0000636549","2019-06-17 18:58:12.275"
"48494","620007193","0000636549","2019-06-17 18:58:12.27"
"46081","620004749","0000636549","2019-06-17 18:58:12.265"
"43538","620002163","0000636549","2019-06-17 18:58:12.263"
"43070","620001681","0000059218","2019-06-17 18:58:11.927"
"43843","620002470","0000059218","2019-06-17 18:58:11.925"
"44021","620002653","0000059218","2019-06-17 18:58:11.923"
"44266","620002905","0000059218","2019-06-17 18:58:11.921"
"44365","620003005","0000059218","2019-06-17 18:58:11.92"
"44655","620003297","0000059218","2019-06-17 18:58:11.917"
"45025","620003682","0000059218","2019-06-17 18:58:11.915"
"45119","620003778","0000059218","2019-06-17 18:58:11.914"
"45416","620004075","0000059218","2019-06-17 18:58:11.912"
"45801","620004466","0000059218","2019-06-17 18:58:11.91"
"46187","620004854","0000059218","2019-06-17 18:58:11.908"
"43636","620002260","0000059218","2019-06-17 18:58:11.907"
